key,0,1
#,,
offset,0,4
Int32,String,String
0,TEXT_REGABR2OKZUNDU_00292_GONAVANU_100_000,哎呀、哎呀，你身上竟然没有羽毛！<hex:02100103>没想到会有人类来到尊杜集落，太稀罕了。<hex:02100103>嗯……这会不会是暴风雨来临的前兆呢。
1,TEXT_REGABR2OKZUNDU_00292_GONAVANU_000_000,欢迎、欢迎，这不是人类吗？<hex:02100103>我正在指导后辈跳太阳之舞……<hex:02100103>不晓得、不晓得，你有什么事啊？
2,TEXT_REGABR2OKZUNDU_00292_GONAVANU_000_003,欢迎、欢迎，这不是人类舞者吗？<hex:02100103>为了守卫村子，我正在指导太阳之舞……<hex:02100103>不晓得、不晓得，你有什么事啊？
3,TEXT_REGABR2OKZUNDU_00292_Q1_000_000,想了解什么？
4,TEXT_REGABR2OKZUNDU_00292_A1_000_001,你是做什么的？
5,TEXT_REGABR2OKZUNDU_00292_A1_000_002,这里是什么地方？
6,TEXT_REGABR2OKZUNDU_00292_A1_000_003,取消
7,TEXT_REGABR2OKZUNDU_00292_GONAVANU_000_010,问得好、问得好，让我来告诉你。<hex:02100103>我可是集落里跳舞最好的。<hex:02100103>像这样一点一滴地练习，可是学会优美舞蹈的秘诀！
8,TEXT_REGABR2OKZUNDU_00292_GONAVANU_000_011,转动如同向浮岛洒下光芒的太阳一般的脑袋……<hex:02100103>挥动如同播撒清露的雨云一般的手臂……<hex:02100103>怎么样、怎么样，是不是很棒！
9,TEXT_REGABR2OKZUNDU_00292_GONAVANU_000_012,别站着、别站着，和我一起舞动起来吧！<hex:02100103>来吧，不要害羞，是不是很想和我一起摇摆？<hex:02100103>不过怎么也比不过我的舞姿就是了……哦呵呵呵呵！
10,TEXT_REGABR2OKZUNDU_00292_GONAVANU_000_040,虽然说、虽然说，我们的舞姿比不过你的，<hex:02100103>不过我们会用自己的舞蹈抵抗冷酷的温杜族，守卫村落！
11,TEXT_REGABR2OKZUNDU_00292_GONAVANU_000_020,这里是、这里是，尊杜集落！<hex:02100103>是尊杜族的村落！
12,TEXT_REGABR2OKZUNDU_00292_GONAVANU_000_021,尊杜族的人民全都豁达开朗。<hex:02100103>和那些、和那些，冷酷的温杜族不一样，<hex:02100103>我们喜欢平静的生活。
13,TEXT_REGABR2OKZUNDU_00292_GONAVANU_000_022,特别是、特别是，索努瓦努长老。<hex:02100103>他是如同连绵的云彩般豁达的人物，<hex:02100103>会随时欢迎你的到来的。
14,TEXT_REGABR2OKZUNDU_00292_GONAVANU_000,（未使用/预计删除）
15,TEXT_REGABR2OKZUNDU_00292_SCENE00000Q,（未使用/预计删除）
16,TEXT_REGABR2OKZUNDU_00292_SCENE00000A1,（未使用/预计删除）
17,TEXT_REGABR2OKZUNDU_00292_SCENE00000A2,（未使用/预计删除）
18,TEXT_REGABR2OKZUNDU_00292_SCENE00000A3,（未使用/预计删除）
19,TEXT_REGABR2OKZUNDU_00292_GONAVANU_010,（未使用/预计删除）
20,TEXT_REGABR2OKZUNDU_00292_GONAVANU_011,（未使用/预计删除）
21,TEXT_REGABR2OKZUNDU_00292_GONAVANU_012,（未使用/预计删除）
22,TEXT_REGABR2OKZUNDU_00292_GONAVANU_020,（未使用/预计删除）
23,TEXT_REGABR2OKZUNDU_00292_GONAVANU_021,（未使用/预计删除）
24,TEXT_REGABR2OKZUNDU_00292_GONAVANU_022,（未使用/预计删除）
