key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_FESPDY501_03208_SEQ_00,※本任务是特定期间内的任务。<hex:02100103><hex:02100103>乌尔达哈慌张的管家想要冒险者帮忙。
1,TEXT_FESPDY501_03208_SEQ_01,※本任务只有在季节活动开放期间才能接受和进行。<hex:02100103>　季节活动结束后无法进行，敬请注意。<hex:02100103>　详情请参见官方网站。<hex:02100103><hex:02100103>和管家鲁道夫进行了交谈。他正在寻找他所侍奉的索恩家的大小姐阿尔蒂希雅。为了帮助他找到阿尔蒂希雅，先去找乌尔达哈翠玉大街的管家之王询问线索。
2,TEXT_FESPDY501_03208_SEQ_02,和管家之王进行了交谈。管家之王提到想要答谢阿尔蒂希雅带来的大丁草的花，虽然这句话很让人在意，不过现在还是集中精力寻找阿尔蒂希雅。在翠玉大街找到“黑发的高贵女性”，并和她谈谈。
3,TEXT_FESPDY501_03208_SEQ_03,平安无事地找到了阿尔蒂希雅。出生在女儿节发祥的源头索恩家的阿尔蒂希雅希望能用大丁草的花制成花冠，像从前的巴尔德里克王那样让人们露出笑容。和阿尔蒂希雅他们一起，将<hex:022811FF0A>EventItem<hex:F61E8E490103>交给翠玉大街的“向往成为公主的少女”。
4,TEXT_FESPDY501_03208_SEQ_04,将<hex:022811FF0A>EventItem<hex:F61E8E490103>交给了向往成为公主的少女。看到少女开心的样子，阿尔蒂希雅好像十分高兴。继续将<hex:022811FF0A>EventItem<hex:F61E8E490103>交给来生回廊裁衣匠行会附近的“向往成为公主的妇女”。
5,TEXT_FESPDY501_03208_SEQ_05,将<hex:022811FF0A>EventItem<hex:F61E8E490103>交给了向往成为公主的妇女。妇女与她的丈夫因达成了童年时的梦想而感到非常高兴。可是身体虚弱的阿尔蒂希雅不知是否是因为疲劳，开始变得不舒服了。先回到现世回廊的翠玉大街，和鲁道夫谈谈。
6,TEXT_FESPDY501_03208_SEQ_06,和鲁道夫进行了交谈。阿尔蒂希雅决定回家休养。在等人来接的时间里，阿尔蒂希雅向大家讲述了有关大丁草之花的故事。鲁道夫了解到阿尔蒂希雅对大丁草花冠倾注的心愿后，也领悟了自己身为管家应该做的事情。为了实现人们纯粹的愿望而做出贡献的冒险者得到了众人的感谢。继续协助管家之王举办女儿节，将笑容带给更多的人。
7,TEXT_FESPDY501_03208_SEQ_07,
8,TEXT_FESPDY501_03208_SEQ_08,
9,TEXT_FESPDY501_03208_SEQ_09,
10,TEXT_FESPDY501_03208_SEQ_10,
11,TEXT_FESPDY501_03208_SEQ_11,
12,TEXT_FESPDY501_03208_SEQ_12,
13,TEXT_FESPDY501_03208_SEQ_13,
14,TEXT_FESPDY501_03208_SEQ_14,
15,TEXT_FESPDY501_03208_SEQ_15,
16,TEXT_FESPDY501_03208_SEQ_16,
17,TEXT_FESPDY501_03208_SEQ_17,
18,TEXT_FESPDY501_03208_SEQ_18,
19,TEXT_FESPDY501_03208_SEQ_19,
20,TEXT_FESPDY501_03208_SEQ_20,
21,TEXT_FESPDY501_03208_SEQ_21,
22,TEXT_FESPDY501_03208_SEQ_22,
23,TEXT_FESPDY501_03208_SEQ_23,
24,TEXT_FESPDY501_03208_TODO_00,和管家之王对话
25,TEXT_FESPDY501_03208_TODO_01,寻找黑发的高贵女性
26,TEXT_FESPDY501_03208_TODO_02,将<hex:022811FF0A>EventItem<hex:F61E8E490103>交给向往成为公主的少女
27,TEXT_FESPDY501_03208_TODO_03,将<hex:022811FF0A>EventItem<hex:F61E8E490103>交给裁衣匠行会附近向往成为公主的妇女
28,TEXT_FESPDY501_03208_TODO_04,和翠玉大街的鲁道夫对话
29,TEXT_FESPDY501_03208_TODO_05,
30,TEXT_FESPDY501_03208_TODO_06,
31,TEXT_FESPDY501_03208_TODO_07,
32,TEXT_FESPDY501_03208_TODO_08,
33,TEXT_FESPDY501_03208_TODO_09,
34,TEXT_FESPDY501_03208_TODO_10,
35,TEXT_FESPDY501_03208_TODO_11,
36,TEXT_FESPDY501_03208_TODO_12,
37,TEXT_FESPDY501_03208_TODO_13,
38,TEXT_FESPDY501_03208_TODO_14,
39,TEXT_FESPDY501_03208_TODO_15,
40,TEXT_FESPDY501_03208_TODO_16,
41,TEXT_FESPDY501_03208_TODO_17,
42,TEXT_FESPDY501_03208_TODO_18,
43,TEXT_FESPDY501_03208_TODO_19,
44,TEXT_FESPDY501_03208_TODO_20,
45,TEXT_FESPDY501_03208_TODO_21,
46,TEXT_FESPDY501_03208_TODO_22,
47,TEXT_FESPDY501_03208_TODO_23,
48,TEXT_FESPDY501_03208_RODOLPH_000_000,你这身装扮……<hex:02100103>我想你肯定是一位冒险者！<hex:02100103>请你务必帮忙寻找我家失踪的大小姐！
49,TEXT_FESPDY501_03208_RODOLPH_000_001,啊！一直将细致入微作为原则的我<hex:02100103>这回实在是有些太唐突了！<hex:02100103>请原谅我的冒失。
50,TEXT_FESPDY501_03208_RODOLPH_000_002,(-鲁道夫-)请允许我重新自我介绍一下。<hex:02100103>我是索恩家的管家，名叫鲁道夫。<hex:02100103>失踪的正是我家大小姐阿尔蒂希雅。
51,TEXT_FESPDY501_03208_Q1_000_000,如何作答？
52,TEXT_FESPDY501_03208_A1_000_001,索恩家？
53,TEXT_FESPDY501_03208_A1_000_002,为什么失踪了？
54,TEXT_FESPDY501_03208_RODOLPH_000_003,(-鲁道夫-)你问得正好！<hex:02100103>什么是索恩家？为什么我家大小姐会失踪了？<hex:02100103>就由我来为你详细说明一下吧。
55,TEXT_FESPDY501_03208_RODOLPH_000_004,(-鲁道夫-)……嗯哼。<hex:02100103>时间要追溯到至今大概300年前……<hex:02100103>那时在乌尔达哈有一个名为索恩朝的时代。
56,TEXT_FESPDY501_03208_RODOLPH_000_005,(-鲁道夫-)而大小姐不仅是索恩朝王家的后裔，<hex:02100103>还是作为名门代代传承下来的索恩家的长女。<hex:02100103>可大小姐为什么会失踪……
57,TEXT_FESPDY501_03208_RODOLPH_000_006,(-鲁道夫-)……抱歉，说大小姐失踪可能是有点过于夸张了。<hex:02100103>毕竟大小姐确实留下了字条，说是前往了女儿节的节日会场。<hex:02100103>大小姐一定认为要是跟我们谈起此事的话，会被我们给拦下。
58,TEXT_FESPDY501_03208_RODOLPH_000_007,(-鲁道夫-)阿尔蒂希雅大小姐的身体一直很虚弱……<hex:02100103>不过最近连续几日，身体状况都有好转。<hex:02100103>恐怕是为了参加人生第一次的女儿节，才瞒着我们……
59,TEXT_FESPDY501_03208_RODOLPH_000_008,（★未使用／削除予定★）
60,TEXT_FESPDY501_03208_RODOLPH_000_009,(-鲁道夫-)我等虽然能理解大小姐想要参加向往的节日的心情，<hex:02100103>可是孤身前往，万一有了什么危险就大事不好了！<hex:02100103>弄不好就会变成“公主失踪事件”那样的大骚动！
61,TEXT_FESPDY501_03208_Q2_000_000,如何作答？
62,TEXT_FESPDY501_03208_A2_000_001,没时间说明了，赶快去找吧！
