key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_GAIUSB111_00830_SEQ_00,遗忘绿洲的乌·库巴·提亚，看上去十分愤怒的样子……
1,TEXT_GAIUSB111_00830_SEQ_01,乌·库巴·提亚对于乌·恰卡·提亚竟让冒险者在乌·卡兹娜的修行中帮忙一事，感到十分恼火。和乌·恰卡·提亚交谈。
2,TEXT_GAIUSB111_00830_SEQ_02,乌·恰卡·提亚十分担心乌·卡兹娜。在附近寻找乌·卡兹娜。
3,TEXT_GAIUSB111_00830_SEQ_03,乌·卡兹娜希望冒险者用<hex:022811FF0A>EventItem<hex:F61E87070103>将<hex:02280FFF09>BNpcName<hex:F2088F0103>捕获回来。将<hex:02280FFF09>BNpcName<hex:F2088F0103>的体力降低至濒危状态，对其使用<hex:022811FF0A>EventItem<hex:F61E87070103>捕获它。
4,TEXT_GAIUSB111_00830_SEQ_04,获得了<hex:022811FF0A>EventItem<hex:F61E87080103>。将其交给牛魔里程的乌·卡兹娜。
5,TEXT_GAIUSB111_00830_SEQ_05,乌·卡兹娜想要使用弱小的<hex:02280FFF09>BNpcName<hex:F2088F0103>进行弓术的练习。看来，这一切都是乌·库巴·提亚的建议。向遗忘绿洲的乌·恰卡·提亚报告。
6,TEXT_GAIUSB111_00830_SEQ_06,乌·恰卡·提亚和乌·库巴·提亚。性格迥异的2人都以他们自己的形式，在为族人和其未来担忧。不知这2位中的哪一位能成为下一任族长。
7,TEXT_GAIUSB111_00830_SEQ_07,无
8,TEXT_GAIUSB111_00830_SEQ_08,无
9,TEXT_GAIUSB111_00830_SEQ_09,无
10,TEXT_GAIUSB111_00830_SEQ_10,无
11,TEXT_GAIUSB111_00830_SEQ_11,无
12,TEXT_GAIUSB111_00830_SEQ_12,无
13,TEXT_GAIUSB111_00830_SEQ_13,无
14,TEXT_GAIUSB111_00830_SEQ_14,无
15,TEXT_GAIUSB111_00830_SEQ_15,无
16,TEXT_GAIUSB111_00830_SEQ_16,无
17,TEXT_GAIUSB111_00830_SEQ_17,无
18,TEXT_GAIUSB111_00830_SEQ_18,无
19,TEXT_GAIUSB111_00830_SEQ_19,无
20,TEXT_GAIUSB111_00830_SEQ_20,无
21,TEXT_GAIUSB111_00830_SEQ_21,无
22,TEXT_GAIUSB111_00830_SEQ_22,无
23,TEXT_GAIUSB111_00830_SEQ_23,无
24,TEXT_GAIUSB111_00830_TODO_00,和乌·恰卡·提亚对话
25,TEXT_GAIUSB111_00830_TODO_01,寻找乌·卡兹娜
26,TEXT_GAIUSB111_00830_TODO_02,削弱<hex:02280FFF09>BNpcName<hex:F2088F0103>的体力 使用<hex:022811FF0A>EventItem<hex:F61E87070103>
27,TEXT_GAIUSB111_00830_TODO_03,将<hex:022811FF0A>EventItem<hex:F61E87080103>交给乌·卡兹娜
28,TEXT_GAIUSB111_00830_TODO_04,向乌·恰卡·提亚报告
29,TEXT_GAIUSB111_00830_TODO_05,无
30,TEXT_GAIUSB111_00830_TODO_06,无
31,TEXT_GAIUSB111_00830_TODO_07,无
32,TEXT_GAIUSB111_00830_TODO_08,无
33,TEXT_GAIUSB111_00830_TODO_09,无
34,TEXT_GAIUSB111_00830_TODO_10,无
35,TEXT_GAIUSB111_00830_TODO_11,无
36,TEXT_GAIUSB111_00830_TODO_12,无
37,TEXT_GAIUSB111_00830_TODO_13,无
38,TEXT_GAIUSB111_00830_TODO_14,无
39,TEXT_GAIUSB111_00830_TODO_15,无
40,TEXT_GAIUSB111_00830_TODO_16,无
41,TEXT_GAIUSB111_00830_TODO_17,无
