key,0,1
#,,
offset,0,4
Int32,String,String
0,TEXT_REGYOK6ICUVLOSINN_00868_OVLI_000_000,这位旅行者，欢迎你的到来。<hex:02100103>有什么想知道的都可以问我，我知无不言。
1,TEXT_REGYOK6ICUVLOSINN_00868_OVLI_000_001,我收到消息说艳翼蛇鸟被释放出来了。<hex:02100103>如果你有什么想问的，请长话短说。
2,TEXT_REGYOK6ICUVLOSINN_00868_OVLI_000_002,艳翼蛇鸟已经被顺利讨伐了啊！<hex:02100103>我之前也呼吁旅行商人们自行避难，<hex:02100103>好在没出什么事，我也就放心了。
3,TEXT_REGYOK6ICUVLOSINN_00868_OVLI_000_003,新任联王已经定下来了啊。<hex:02100103>从图莱尤拉过来做交易的人们<hex:02100103>似乎也都很在意这个国家的未来啊。
4,TEXT_REGYOK6ICUVLOSINN_00868_OVLI_000_004,武王大人的帮手，欢迎你的到来。<hex:02100103>有什么想知道的都可以问我，我知无不言。
5,TEXT_REGYOK6ICUVLOSINN_00868_Q1_000_000,想了解什么？
6,TEXT_REGYOK6ICUVLOSINN_00868_A1_000_001,你是做什么的？
7,TEXT_REGYOK6ICUVLOSINN_00868_A1_000_002,这里是什么地方？
8,TEXT_REGYOK6ICUVLOSINN_00868_A1_000_003,取消
9,TEXT_REGYOK6ICUVLOSINN_00868_OVLI_000_010,我以前是一名商人，现在则是在这里做向导。<hex:02100103>因为之前搬重物的时候伤到了腰……
10,TEXT_REGYOK6ICUVLOSINN_00868_OVLI_000_011,佩鲁佩鲁族通过做生意来让所有人获得幸福。<hex:02100103>生意让大家变得富足，<hex:02100103>最近都过得很悠然自得。
11,TEXT_REGYOK6ICUVLOSINN_00868_OVLI_000_012,不过考虑到有艳翼蛇鸟的威胁……<hex:02100103>就不能再在这里优哉游哉了。
12,TEXT_REGYOK6ICUVLOSINN_00868_OVLI_000_020,这里是伊库乌洛商旅馆。<hex:02100103>是从奥阔帕恰山外面来的商人及其佣兵们<hex:02100103>在跟佩鲁佩鲁族做生意期间休息的地方。
13,TEXT_REGYOK6ICUVLOSINN_00868_OVLI_000_021,在他们当中极具人气的要数温泉圣地帕纳克佩鲁休养所了。<hex:02100103>那里的汤泉堪称奇迹，能缓解我腰部的剧痛……<hex:02100103>你如果感兴趣的话也可以去试试看啊。
14,TEXT_REGYOK6ICUVLOSINN_00868_OVLI_000_022,不过现在艳翼蛇鸟被释放了出来，<hex:02100103>怕是没有那个悠闲的心情吧。
