key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_SUBCTS001_01208_SEQ_00,蒂亚曼德很担心自己的上司。
1,TEXT_SUBCTS001_01208_SEQ_01,技师蒂亚曼德委托冒险者去讨伐妨碍了天狼星灯塔修理的塞壬。找灯塔修理工作的监督人弥弥德亚询问详情，他正在小麦酒港静候时机。
2,TEXT_SUBCTS001_01208_SEQ_02,据弥弥德亚所说，冒险者之前打倒过的塞壬复活了，并占据了天狼星灯塔。前往幻影群岛，和天狼星灯塔前的大卫谈谈。
3,TEXT_SUBCTS001_01208_SEQ_03,大卫建议冒险者从地下攻入天狼星灯塔，这样可以不被敌人发现。突破天狼星灯塔，让修理工作可以正常展开。<hex:02100103><hex:02100103>※可以通过任务搜索器参加。
4,TEXT_SUBCTS001_01208_SEQ_04,空栏
5,TEXT_SUBCTS001_01208_SEQ_05,空栏
6,TEXT_SUBCTS001_01208_SEQ_06,空栏
7,TEXT_SUBCTS001_01208_SEQ_07,空栏
8,TEXT_SUBCTS001_01208_SEQ_08,空栏
9,TEXT_SUBCTS001_01208_SEQ_09,空栏
10,TEXT_SUBCTS001_01208_SEQ_10,空栏
11,TEXT_SUBCTS001_01208_SEQ_11,空栏
12,TEXT_SUBCTS001_01208_SEQ_12,空栏
13,TEXT_SUBCTS001_01208_SEQ_13,空栏
14,TEXT_SUBCTS001_01208_SEQ_14,空栏
15,TEXT_SUBCTS001_01208_SEQ_15,空栏
16,TEXT_SUBCTS001_01208_SEQ_16,空栏
17,TEXT_SUBCTS001_01208_SEQ_17,空栏
18,TEXT_SUBCTS001_01208_SEQ_18,空栏
19,TEXT_SUBCTS001_01208_SEQ_19,空栏
20,TEXT_SUBCTS001_01208_SEQ_20,空栏
21,TEXT_SUBCTS001_01208_SEQ_21,空栏
22,TEXT_SUBCTS001_01208_SEQ_22,空栏
23,TEXT_SUBCTS001_01208_SEQ_23,
24,TEXT_SUBCTS001_01208_TODO_00,和小麦酒港的弥弥德亚对话
25,TEXT_SUBCTS001_01208_TODO_01,和天狼星灯塔的大卫对话
26,TEXT_SUBCTS001_01208_TODO_02,空栏
27,TEXT_SUBCTS001_01208_TODO_03,空栏
28,TEXT_SUBCTS001_01208_TODO_04,空栏
29,TEXT_SUBCTS001_01208_TODO_05,空栏
30,TEXT_SUBCTS001_01208_TODO_06,空栏
31,TEXT_SUBCTS001_01208_TODO_07,空栏
32,TEXT_SUBCTS001_01208_TODO_08,空栏
33,TEXT_SUBCTS001_01208_TODO_09,空栏
34,TEXT_SUBCTS001_01208_TODO_10,空栏
35,TEXT_SUBCTS001_01208_TODO_11,空栏
36,TEXT_SUBCTS001_01208_TODO_12,空栏
37,TEXT_SUBCTS001_01208_TODO_13,空栏
38,TEXT_SUBCTS001_01208_TODO_14,空栏
39,TEXT_SUBCTS001_01208_TODO_15,空栏
40,TEXT_SUBCTS001_01208_TODO_16,空栏
41,TEXT_SUBCTS001_01208_TODO_17,空栏
42,TEXT_SUBCTS001_01208_TODO_18,空栏
43,TEXT_SUBCTS001_01208_TODO_19,空栏
44,TEXT_SUBCTS001_01208_TODO_20,空栏
45,TEXT_SUBCTS001_01208_TODO_21,空栏
46,TEXT_SUBCTS001_01208_TODO_22,空栏
47,TEXT_SUBCTS001_01208_TODO_23,
48,TEXT_SUBCTS001_01208_DIAMANDA_000_000,我叫蒂亚曼德，是个锻铁匠。<hex:02100103>是从纳尔迪克＆威米利作坊派遣过来，<hex:02100103>参加天狼星灯塔的修理工作的。
